userName,score,at,content
ahmad zuhdi 87,5,2023-05-16 04:07:56,Mantap dan sangat membantu selalu yang terbaik
Dian Rahmania,5,2023-05-16 03:22:05,Aplikasi wajib download
Joe Wijaya,5,2023-05-16 03:18:51,Ok
Kholik Ms,5,2023-05-16 02:44:28,Aplikasi yg sangat berguna untuk nomor² tidak jelas
Heri Prastiyo,5,2023-05-16 02:30:11,Mantulll
Nurulhikmaf,5,2023-05-16 02:12:33,Good work. Aplikasi ini bekerja dengan baik dengan melindungi dari para nomor spam yang mengganggu tidak di kenal. Langsung auto blokir dengan jangkauan yang luas. Disarankan langsung gunakan premium apabila sangat mengganggu kenyamanan.
MCM JPR,5,2023-05-16 01:44:06,Very usefull
Lambang Herlambang (Herlambang),3,2023-05-15 23:45:01,Beri 3 bintang dulu semega bisa membantu
Wisnu Kurniawan,5,2023-05-15 12:56:05,Good
Sony Yakevfa,5,2023-05-15 12:49:31,Mantaabb
rio purnama,5,2023-05-15 11:59:27,RECOMEND
Syamsir Alam,5,2023-05-15 11:43:14,Sangat baik
Muhamad Cecep,5,2023-05-15 09:58:01,Top
Kundang Junaedi,5,2023-05-15 09:17:14,Mantaaaaaaaaapp keren dah pokoknya
Ketut seno,5,2023-05-15 06:37:17,Good
Iis Istiaroh,5,2023-05-15 05:23:57,Nice App
wahyu Tea,5,2023-05-15 05:12:09,Sangat membantu
Abu Rahman,5,2023-05-15 03:20:25,Keren Bagus Mantap Gkda tandingan
Bolang Kasian,5,2023-05-15 03:11:25,Bagus
Badai Tresna Atmadja,5,2023-05-15 01:36:19,Ok mantablah ⭐⭐⭐⭐⭐👍
rahma junia hasri,1,2023-05-14 16:03:52,Tdk bisa memverifikasi no... Tdk bisa digunakan jdnya
Muhammad Samsudi,5,2023-05-14 13:02:06,Ok
Rudi Ansyah,5,2023-05-14 12:30:21,Top pokok e
Moch syatibi Zaenal Abidin,5,2023-05-14 10:15:20,Aplikasi yang sangat berguna dan sangat mudah untuk digunakan
Im Death,1,2023-05-14 07:38:35,Waw incridible
Alfian Fuadi,5,2023-05-14 07:02:16,Apliasinya good banget... Pokoknya kalian yg blm dwld wajib dwld karena apknya sangat work it banget...
Faisal Fahmi,5,2023-05-14 07:01:05,Terimakasih sangat membantu
Eka Wijayanti,4,2023-05-14 07:00:00,Good aplikasi
Mbah Surip,5,2023-05-14 04:34:27,Jos
Faridha Sukmawati,5,2023-05-14 04:32:05,"Sekarang banyak bgt spam telpon, aplikasi ini berguna bgt, love true caller"
Muhamad Subur,5,2023-05-14 03:35:04,Bagus mantap
Nalan Aqilah,1,2023-05-14 03:06:50,Jelekkkkkkkkkkkkk
Helina Sinurat,5,2023-05-14 02:26:53,"Trimakasih,..sangat membantu saya ,"
aziza,1,2023-05-14 00:14:34,"aplikasi ga berguna katanya bisa melacak lokasi seseorang hanya dengan menggunakan nomor, nyatanya ga bener gw udh masukin nomor nya malah yg muncul lokasi kita bangkee"
Zainal Arifin,5,2023-05-14 00:13:50,Aplikasi manfaat
Mila,1,2023-05-13 13:47:46,Penipu
EDY Sofyan,5,2023-05-13 13:26:06,Luar biasa
Eva Afeefa,5,2023-05-13 12:49:02,Bagus untuk melihat no tidak di kenal mbnya juga tidak banyak coba deh download ini pasti guna banget
ACHMAD SUBHAN,5,2023-05-13 11:23:56,Sangat membantu
susanto edi,5,2023-05-13 10:24:01,Aplikasi yg cukup membantu
MUHAMAD FAUZIE,5,2023-05-13 08:30:24,Ok
dodi raharjo,5,2023-05-13 07:26:13,Mantab
Fitri Anata,5,2023-05-13 07:00:11,"Bisa membantu,biar tidak bisa menipu."
kurulus askare,5,2023-05-13 05:51:21,"top, really helpfull"
Syaeful Umar,5,2023-05-13 03:14:51,bagussa
Dicky Fahrudin,5,2023-05-13 03:02:37,👍
R M CATUR NUFIANTO,5,2023-05-13 02:10:21,Sangat membantu
Heru Purnama,4,2023-05-13 02:10:18,function
Muhammad Tigran,1,2023-05-13 01:24:16,"masih jauh dari akurat, cuma menampilkan nama yang kita save di inbox, atau nama samaran. tapi tidak menapilkan nama yg didaftarkan di kominfo. kalo bisa menampilkan nama yg didaftarkan di kominfo aku mau upgrade ke langganan berbayarnya walopun 1jt/bln."
herwin d erwin,5,2023-05-13 01:07:14,Sangat bagus
Jon Eben,5,2023-05-12 22:56:45,good
Maryadi S,5,2023-05-12 15:36:01,Mantap
Paiman Paiman,5,2023-05-12 12:52:33,Sangat membantuu
Okpi cumi,4,2023-05-12 11:09:41,Bermanfaat sih
iwa karmana,5,2023-05-12 09:47:56,Akurat
Didin Wahyudin,5,2023-05-12 09:45:54,Mantap
I W,5,2023-05-12 09:29:32,Good
Akshay CN,5,2023-05-12 09:15:59,Sangat membantu!👍🏻
Pratiwi Indah Cahya,5,2023-05-12 07:35:54,Keren sangat membantu
